Province,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,Cumulative
Beijing,0.039630119,0.036838773,0.041713412,0.03749072,0.032931272,0.033710093,0.034134964,0.035548059,0.035246258,0.039761364,0.039630119
Tianjin,0.025041736,0.026651316,0.024340855,0.026271884,0.024427417,0.024680542,0.023885732,0.028207381,0.029107287,0.031893075,0.025041736
Hebei,0.014684625,0.015480833,0.015972538,0.015731688,0.016276864,0.016012647,0.01649043,0.016574719,0.016438334,0.017519387,0.014684625
Shanxi,0.012551064,0.011970136,0.010979455,0.011397405,0.011223327,0.011428812,0.010090544,0.009319798,0.00883405,0.009394632,0.012551064
Inner Mongolia,0.017571542,0.018512401,0.018697763,0.0183687,0.018920963,0.019119819,0.019210172,0.020016369,0.01954574,0.020967334,0.017571542
Liaoning,0.020890234,0.021043352,0.021529314,0.021576426,0.02172865,0.02164663,0.022048048,0.023249999,0.024458043,0.024749722,0.020890234
Jilin,0.016049187,0.015882798,0.015984927,0.016399227,0.015943136,0.015632899,0.014141747,0.014012691,0.013862935,0.013659008,0.016049187
Heilongjiang,0.025252485,0.025418842,0.025858177,0.025269675,0.024099064,0.022274528,0.020532732,0.019572682,0.018046211,0.018048524,0.025252485
Shanghai,0.049202579,0.042032862,0.040814611,0.043094538,0.044984661,0.041110251,0.041772594,0.042368388,0.043101007,0.041493882,0.049202579
Jiangsu,0.035274655,0.036035966,0.038779104,0.03929653,0.039906895,0.040139627,0.039927398,0.03970813,0.03825961,0.036247271,0.035274655
Zhejiang,0.035613788,0.036978018,0.038790677,0.039771793,0.039278707,0.037385644,0.038089872,0.038837587,0.039771514,0.040693189,0.035613788
Anhui,0.017833048,0.017596861,0.015966634,0.018119441,0.017602792,0.018661323,0.018413033,0.018505607,0.016922983,0.013616598,0.017833048
Fujian,0.036179264,0.040020246,0.041492426,0.041763189,0.0409965,0.043144632,0.042800837,0.044654364,0.044716033,0.046066503,0.036179264
Jiangxi,0.027730322,0.027620992,0.030268106,0.031639403,0.028174215,0.031300633,0.027670997,0.029240865,0.027929827,0.028855338,0.027730322
Shandong,0.012895053,0.012995917,0.013292347,0.013640124,0.014192536,0.013705842,0.014305522,0.014510462,0.014642353,0.014892153,0.012895053
Henan,0.008678648,0.008727927,0.008179687,0.009889315,0.009497152,0.00873858,0.008814144,0.009738108,0.009435656,0.008522953,0.008678648
Hubei,0.017466692,0.019880891,0.019339863,0.019689891,0.018126252,0.017761253,0.017291502,0.019851212,0.019566174,0.018869105,0.017466692
Hunan,0.022187347,0.022393051,0.022841085,0.022572202,0.022080929,0.021794889,0.022612808,0.023599228,0.02557101,0.026234286,0.022187347
Guangdong,0.045644614,0.047442693,0.047277632,0.047610939,0.049157595,0.04902855,0.050275057,0.051096505,0.05170844,0.051532758,0.045644614
Guangxi,0.032268563,0.03287849,0.03528029,0.034120016,0.034832087,0.032220569,0.032995526,0.0335124,0.035625871,0.03724975,0.032268563
Hainan,0.040204057,0.040696574,0.03885483,0.038091533,0.04059019,0.040365003,0.040636657,0.041029165,0.043954553,0.047512992,0.040204057
Chongqing,0.007081956,0.007215169,0.006705552,0.006985429,0.007240438,0.006920415,0.005905834,0.005749176,0.005887897,0.00598151,0.007081956
Sichuan,0.016024916,0.016171427,0.015036288,0.014398602,0.015096805,0.013427351,0.013425807,0.013046928,0.012039564,0.012794452,0.016024916
Guizhou,0.010077187,0.009797606,0.009134481,0.008949725,0.009211131,0.009897993,0.010236995,0.010626081,0.01116588,0.010912683,0.010077187
Yunnan,0.014683509,0.014556831,0.01435833,0.014363137,0.014991886,0.014410264,0.014807381,0.016308683,0.01734754,0.018261385,0.014683509
Tibet,0.104303994,0.107599193,0.110181311,0.110914431,0.111006354,0.113366193,0.132062117,0.116773727,0.143917229,0.143525674,0.104303994
Shaanxi,0.013467699,0.013513892,0.01357534,0.013600311,0.013729529,0.013446415,0.013252612,0.013771936,0.013851014,0.013723997,0.013467699
Gansu,0.022262448,0.02274592,0.023294763,0.023876668,0.023196027,0.022917094,0.023598436,0.02380771,0.025055511,0.025552009,0.022262448
Qinghai,0.035453412,0.037429037,0.037944735,0.040970186,0.040562242,0.042867836,0.042400307,0.042038712,0.043552752,0.039618332,0.035453412
Ningxia,0.044149937,0.04902581,0.04888442,0.050164077,0.04947711,0.052459953,0.052129245,0.053200942,0.056189807,0.054419539,0.044149937
Xinjiang,0.090890499,0.094906422,0.099859904,0.106995814,0.109633287,0.098006008,0.101844438,0.10493352,0.108354303,0.113445628,0.090890499
