Province,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
National Total,,,,,,,,,,,,
Beijing,1,1,1,1,1,1,1,1,1,1,1,1
Tianjin,1,1,1,1,1,1,1,1,1,1,1,1
Hebei,1,1,1,1,1,1,1,1,1,1,1,1
Shanxi,1,1,1,1,1,1,1,1,1,1,1,1
Inner Mongolia,2,2,2,2,2,2,2,2,2,2,2,2
Liaoning,1,1,1,1,1,1,1,1,1,1,1,1
Jilin,2,2,2,2,2,2,2,2,2,2,2,2
Heilongjiang,2,2,2,2,2,2,2,2,2,2,2,2
Shanghai,1,1,1,1,1,1,1,1,1,1,1,1
Jiangsu,1,1,1,1,1,1,1,1,1,1,1,1
Zhejiang,2,2,2,2,2,2,2,2,2,2,2,2
Anhui,2,2,2,2,2,2,2,2,2,2,2,2
Fujian,3,3,3,3,3,3,3,3,3,3,3,3
Jiangxi,3,3,3,3,3,3,3,3,3,3,3,3
Shandong,1,1,1,1,1,1,1,1,1,1,1,1
Henan,1,1,1,1,1,1,1,1,1,1,1,1
Hubei,2,2,2,2,2,2,2,2,2,2,2,2
Hunan,3,3,3,3,3,3,3,3,3,3,3,3
Guangdong,2,2,2,2,2,2,2,2,2,2,2,2
Guangxi,3,3,3,3,3,3,3,3,3,3,3,3
Hainan,3,3,3,3,3,3,3,3,3,3,3,3
Chongqing,2,2,2,2,2,2,2,2,2,2,2,2
Sichuan,3,3,3,3,3,3,3,3,3,3,3,3
Guizhou,3,3,3,3,3,3,3,3,3,3,3,3
Yunnan,3,3,3,3,3,3,3,3,3,3,3,3
Tibet,3,3,3,3,3,3,3,3,3,3,3,3
Shaanxi,2,2,2,2,2,2,2,2,2,2,2,2
Gansu,1,1,1,1,1,1,1,1,1,1,1,1
Qinghai,3,3,3,3,3,3,3,3,3,3,3,3
Ningxia,1,1,1,1,1,1,1,1,1,1,1,1
Xinjiang,3,3,3,3,3,3,3,3,3,3,3,3
