Province,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
National Total,1484.7,1416.1,374,1505.4,2672.3,326.88,81.18,319,229.54,188.9,167.7
Beijing,6.8,,,,,0.04,,0.7,0.07,,0.1
Tianjin,,,,,,,0.07,,,,0.4
Hebei,107.8,7.4,25,27.5,137.3,41.8,5.3,25.2,14.54,11.3,2.6
Shanxi,41.4,33.9,5.4,28.8,105.9,26.2,15.32,8.3,2.7,27.1,3.4
Inner Mongolia,183.5,24.3,10.5,129,511.1,66,3,79.8,28.18,30,31.6
Liaoning,543.7,4.3,,,,48.62,4.53,9.5,23.65,0.6,4.4
Jilin,97.3,,9.3,11.5,119.5,44.63,3.9,32.6,8.26,5.2,35
Heilongjiang,10.8,,63.2,30,36.1,27.17,5.3,55.5,4.03,1.6,13
Shanghai,,,,,,,,,,,
Jiangsu,34.5,11.7,9.3,20,3.6,1.26,,0.4,0.07,1.1,1.7
Zhejiang,,58.4,,,,0.13,0.18,0.3,0.6,1.1,2.1
Anhui,16.5,117.7,21.5,3.3,,,,,1.27,3.5,5.9
Fujian,,0.8,,1.7,,0.16,0.12,0.9,0.1,0.1,2.1
Jiangxi,,68.7,,25.3,,2.92,0.71,11.3,1.07,0.9,6.2
Shandong,60,,7.4,16.7,4.1,7.94,0.64,1.1,6.92,1.3,1.1
Henan,203.8,72,2.7,12.9,,2.72,3.53,4.2,1.97,1.2,7
Hubei,21.8,110,39.5,49,4.7,1.89,,3.4,5.73,3.7,2.8
Hunan,,424.7,,177.5,48.1,6.18,4.2,19.4,2.71,13.5,1.3
Guangdong,,0.4,,2.6,,0.89,0.65,2.5,0.31,2.3,4
Guangxi,0.2,5.6,2.5,20.9,41.9,3.28,1.71,6.4,6.84,10.9,13.8
Hainan,,,,0.7,5.4,0.02,0.15,0.4,0.32,3.4,0.5
Chongqing,1.1,26.5,1,23.1,8.6,1.71,0.43,0.8,37.45,4.3,0.6
Sichuan,21.3,31.9,16.7,58,47.5,2.64,0.33,8.1,31.13,2.5,4
Guizhou,,271.4,1.7,487.2,615.3,4.53,0.05,0.7,9.44,5.8,1.9
Yunnan,19.1,97.7,106.7,207.4,881.7,7.3,4.2,4.5,5.35,23.8,2.1
Tibet,1.5,,,,6.4,0.09,,,,,
Shaanxi,42.7,10,6.5,4.9,29.6,5.06,2.45,8.4,4.67,11,3.8
Gansu,13.9,19.2,15.6,113.3,63.8,17.43,5.4,24,25.04,10.9,7.6
Qinghai,0.1,,1.1,8.4,,,0.57,0.1,1.73,0.1,0.1
Ningxia,12.9,10.6,,43.3,,3.18,4.19,7.6,3.85,7.1,2.5
Xinjiang,44,3.7,28.4,1.4,0.9,1.72,14.25,1.7,0.5,2.9,5.7
