Province,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
National Total,976.9,1828.9,1095.3,872.8,1657.5,78.09,75.6,164.2,142.62,146.6,104.5
Beijing,,0.3,4.8,3.6,,,,,0.04,,0.1
Tianjin,,,13.9,0.3,,,,,,,
Hebei,4.5,41.9,49.2,8.7,14.1,0.43,1.06,1.3,1.97,1.1,1.8
Shanxi,13.7,18.8,48.4,21.6,9.5,0.8,1.07,3.1,0.53,0.1,0.8
Inner Mongolia,24.3,131.1,283.6,130,35.3,3.44,5,1.5,7.47,6.9,7.5
Liaoning,1.4,58.1,27,49.3,115.4,0.05,1.07,0.4,1.2,6.7,0.1
Jilin,6.1,61.9,2.5,9.8,105.7,0.61,0.45,0.6,3.01,2,1.1
Heilongjiang,68.8,815.1,33.3,11,42.7,22.01,0.66,0.6,28.13,5,1.5
Shanghai,,1.6,1.9,2.7,,,,,,,0.1
Jiangsu,0.3,1.3,34.1,17,10,1.91,2.03,5.4,21.11,1.6,1.1
Zhejiang,13.6,81.5,41.4,40.9,12.6,1.19,1.65,0.2,0.63,0.6,0.1
Anhui,5.4,11.3,36.7,30.4,99.3,2.85,2.8,52.6,12.43,27.3,1.2
Fujian,10.9,19.7,11.3,2.5,46.8,,0.27,0.6,5.43,1.7,0.3
Jiangxi,42.1,11.6,37.1,41.7,188.3,3.47,12.51,2.5,9.51,6.6,2.8
Shandong,2.9,141.7,75.3,31.3,142.9,6.65,2.8,5.3,3.71,6.8,8.1
Henan,3.7,0.2,19.4,10,79.6,0.61,0.21,16.5,2.6,7.4,13.1
Hubei,36.1,22.5,63.6,63.8,177.3,10.07,14.25,16.9,2.87,15.2,9.8
Hunan,182.9,46.4,55,56,215.6,3.61,8.87,10.6,18.75,8.3,12.7
Guangdong,158.8,117.3,21.8,22.2,22.3,,4.66,1.6,1.29,4.6,1.2
Guangxi,58.9,7.3,19.4,24.8,16,3.99,7.64,2.9,1.88,12,6.9
Hainan,110.8,57,12,50.1,42.7,,0.83,,0.08,,0.1
Chongqing,31,8.9,43,19,28.1,2.02,0.85,7.4,1.09,5.9,7.4
Sichuan,52.1,57.2,24.5,102.1,119.7,7.66,1.63,10.5,3.62,8.2,12.6
Guizhou,65.1,13.3,31.2,15.5,29.6,1.36,2.1,4.4,2.49,2.6,2.1
Yunnan,41.2,16.9,26.2,17,18.2,2.83,1.3,6,2.61,2.7,4.9
Tibet,1.1,1.2,1.1,,,0.21,0.01,0.1,0.07,,0.3
Shaanxi,27,49,28.1,65.4,51.7,1.02,0.93,6.3,3.25,8.3,3.8
Gansu,8,22.4,33.9,15.6,16.3,1.01,0.8,3.5,4.05,3.8,1.4
Qinghai,2.8,0.4,2.1,2.5,3.3,0.04,0.01,0.1,0.59,,0.1
Ningxia,,5.7,4.7,0.3,6.9,0.08,0.08,1,1.07,,0.4
Xinjiang,3.4,5.7,8.8,6,7.3,0.16,0.07,1.4,0.68,0.5,1.1
