Province,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,Cumulative
National Total,,841,976.9,1828.9,1095.3,872.8,1657.5,780.9,756,1642,10451.3
Beijing,1.5,,,0.3,4.8,3.6,,,,,10.2
Tianjin,0.1,,,,13.9,0.3,,,,,14.3
Hebei,103.3,31.1,4.5,41.9,49.2,8.7,14.1,4.3,10.6,13,280.7
Shanxi,16.6,6.7,13.7,18.8,48.4,21.6,9.5,8,10.7,31,185
Inner Mongolia,14.7,21.2,24.3,131.1,283.6,130,35.3,34.4,50,15,739.6
Liaoning,10.2,0.9,1.4,58.1,27,49.3,115.4,0.5,10.7,4,277.5
Jilin,21.7,3.9,6.1,61.9,2.5,9.8,105.7,6.1,4.5,6,228.2
Heilongjiang,57.2,40.2,68.8,815.1,33.3,11,42.7,220.1,6.6,6,1301
Shanghai,0.6,1.1,,1.6,1.9,2.7,,,,,7.9
Jiangsu,4.9,33.4,0.3,1.3,34.1,17,10,19.1,20.3,54,194.4
Zhejiang,15.1,58,13.6,81.5,41.4,40.9,12.6,11.9,16.5,2,293.5
Anhui,390.8,141,5.4,11.3,36.7,30.4,99.3,28.5,28,526,1297.4
Fujian,25.7,26.4,10.9,19.7,11.3,2.5,46.8,,2.7,6,152
Jiangxi,55.5,38.6,42.1,11.6,37.1,41.7,188.3,34.7,125.1,25,599.7
Shandong,6.1,8.4,2.9,141.7,75.3,31.3,142.9,66.5,28,53,556.1
Henan,38.4,2.8,3.7,0.2,19.4,10,79.6,6.1,2.1,165,327.3
Hubei,319.2,74.4,36.1,22.5,63.6,63.8,177.3,100.7,142.5,169,1169.1
Hunan,85.3,88,182.9,46.4,55,56,215.6,36.1,88.7,106,960
Guangdong,24.6,73.9,158.8,117.3,21.8,22.2,22.3,,46.6,16,503.5
Guangxi,8.5,28.9,58.9,7.3,19.4,24.8,16,39.9,76.4,29,309.1
Hainan,26.6,3.7,110.8,57,12,50.1,42.7,,8.3,,311.2
Chongqing,17.3,7.6,31,8.9,43,19,28.1,20.2,8.5,74,257.6
Sichuan,23.9,33.3,52.1,57.2,24.5,102.1,119.7,76.6,16.3,105,610.7
Guizhou,32.2,20.7,65.1,13.3,31.2,15.5,29.6,13.6,21,44,286.2
Yunnan,44.9,42,41.2,16.9,26.2,17,18.2,28.3,13,60,307.7
Tibet,6.4,1.2,1.1,1.2,1.1,,,2.1,0.1,1,14.2
Shaanxi,16.5,19.7,27,49,28.1,65.4,51.7,10.2,9.3,63,339.9
Gansu,19,7,8,22.4,33.9,15.6,16.3,10.1,8,35,175.3
Qinghai,1.5,3.8,2.8,0.4,2.1,2.5,3.3,0.4,0.1,1,17.9
Ningxia,3.7,1.8,,5.7,4.7,0.3,6.9,0.8,0.8,10,34.7
Xinjiang,50.4,21.3,3.4,5.7,8.8,6,7.3,1.6,0.7,14,119.2
